bid,name,pattern,subPattern,expected,got,delta,deltaAbs
,Grinding Of The Teeth x1.35,tech,stream tech,18,17.99,0.01,0.01
,The Fate of x1.425,stamina,light jumpstream,18,17.86,0.14,0.14
,Agoniya (Opium Remix)(theta) x1.1,speed,high stream,18,17.69,0.31,0.31
,Rip Me Apart(theta) x1.075,jack,dense chordjack,17.8,18.28,-0.48,0.48
,Exitium(eta),tech,stream tech,17.2,17.56,-0.36,0.36
,Intersect Thunderbolt-Remix,speed,mid stream,17.2,16.75,0.45,0.45
,Torment Payback,jack,high chordjack,17.2,17.72,-0.52,0.52
,Collapse of Ego,stamina,dense jumpstream,16.8,17.03,-0.23,0.23
,Angel Dust (2016 Radio Mix)(zeta),jack,anchor chordjack,15.6,15.70,-0.10,0.10
,northern limit(haku) x1.1,tech,stream tech,16.4,16.76,-0.36,0.36
,Purgatorium(efv2) x1.14,tech,stream tech,16.4,16.70,-0.30,0.30
,Angel Dust(spz),stamina,light handstream,16.4,16.17,0.23,0.23
,Angel Dust (2016 Radio Mix)(zeta old),jack,high chordjack,16.4,16.40,0.00,0.00
,Nijuu(zeta),stamina,dense handstream,16.2,16.23,-0.03,0.03
,Kizuato(efv3) x1.3,speed,staircase,16.2,16.44,-0.24,0.24
,Apocalyptic Premonition x1.05,tech,stream tech,16,16.18,-0.18,0.18
,NEURO-CLOUD-9(efv3),tech,stream tech,16,16.36,-0.36,0.36
,Senkou no Furea(haku) x1.25,stamina,dense handstream,16,15.70,0.30,0.30
,HIBACHI,speed,high stream,16,16.21,-0.21,0.21
,Credens Justitiam(haku) x1.1,speed,mid stream,16,15.80,0.20,0.20
,Double Universe x1.2,jack,mid chordjack,16,16.21,-0.21,0.21
,Infinity Heaven(180bpm),jack,high chordjack,16,16.31,-0.31,0.31
,Runengon(efv3),stamina,dense handstream,15.7,16.05,-0.35,0.35
,Weird Autumn(spz) x1.4,tech,stream tech,15.6,15.72,-0.12,0.12
,Vertex Beta(spz cut),jack,mid chordjack,15.6,15.27,0.33,0.33
,Deadly force - Put an end,stamina,dense handstream,15.4,15.89,-0.49,0.49
,Finixe(zeta) x1.1,speed,low stream,15.4,15.67,-0.27,0.27
,Forgotten[Collab(2015)] x1.4,tech,jack tech,15.2,14.71,0.49,0.49
,Matusa Bomber x1.3,tech,stream tech,15,15.32,-0.32,0.32
,Hitsugi to Futago x1.25,stamina,dense jumpstream,15,15.07,-0.07,0.07
,Ash Statues(wafles)[Inhuman],stamina,dense jumpstream,15,15.01,-0.01,0.01
,Mario Point[D-Another],speed,low stream,15,15.34,-0.34,0.34
,Shuuten,speed,high stream,15,15.49,-0.49,0.49
